IMDbID,Title,Year,Released,Tomatometer,Metascore,IMDb,# of IMDb Votes,Budget,Opening Weekend Sales,Domestic Gross,International Gross,Worldwide Gross,Widest Theater Release,Production House,Distributor,Director,Awards
tt0371746,Iron Man,2008,02 May 2008,93,79,7.9,"930,966",140000000.0,148431129,318604126,266762121,585366247,4154.0,"Marvel Enterprises, Paramount",Paramount Pictures,Jon Favreau,Nominated for 2 Oscars. Another 22 wins & 70 nominations.
tt0800080,The Incredible Hulk,2008,13 Jun 2008,67,61,6.7,"430,679",150000000.0,174921744,134806913,128620638,263427551,3508.0,"Marvel Films, Valhalla Motion Pictures",Universal Pictures,Louis Leterrier,1 win & 10 nominations.
tt1228705,Iron Man 2,2010,07 May 2010,73,57,7.0,"716,181",200000000.0,167701822,312433331,311500000,623933331,4390.0,Marvel Studios,Paramount Pictures,Jon Favreau,Nominated for 1 Oscar. Another 7 wins & 43 nominations.
tt0800369,Thor,2011,06 May 2011,77,57,7.0,"740,509",150000000.0,152646352,181030624,268295994,449326618,3963.0,Marvel Studios,Paramount Pictures,Kenneth Branagh,5 wins & 30 nominations.
tt0458339,Captain America: The First Avenger,2011,22 Jul 2011,80,66,6.9,"732,650",140000000.0,179068823,176654505,193915269,370569774,3715.0,Marvel Enterprises,Paramount Pictures,Joe Johnston,4 wins & 46 nominations.
tt0848228,The Avengers,2012,04 May 2012,92,69,8.0,"1,252,715",220000000.0,246662936,623357910,895455078,1518812988,4349.0,Marvel Studios,Walt Disney,Joss Whedon,Nominated for 1 Oscar. Another 38 wins & 79 nominations.
tt1300854,Iron Man 3,2013,03 May 2013,79,62,7.2,"748,737",200000000.0,208434380,409013994,805797258,1214811252,4253.0,Marvel Studios,Walt Disney,Shane Black,Nominated for 1 Oscar. Another 20 wins & 62 nominations.
tt1981115,Thor: The Dark World,2013,08 Nov 2013,67,54,6.9,"590,538",170000000.0,157930421,206362140,438421000,644783140,3841.0,Marvel Studios,Walt Disney,Alan Taylor,3 wins & 21 nominations.
tt1843866,Captain America: The Winter Soldier,2014,04 Apr 2014,90,70,7.7,"728,693",170000000.0,155800774,259766572,454654931,714421503,3938.0,Marvel Enterprises,Walt Disney,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 5 wins & 50 nominations.
tt2015381,Guardians of the Galaxy,2014,01 Aug 2014,91,76,8.0,"1,035,000",170000000.0,167783615,333176600,439600000,772776600,4088.0,"Marvel Studios, Moving Picture Company, Marvel Enterprises",Walt Disney,James Gunn,Nominated for 2 Oscars. Another 52 wins & 100 nominations.
tt2395427,Avengers: Age of Ultron,2015,01 May 2015,75,66,7.3,"731,508",250000000.0,223967813,459005868,943800000,1402805868,4276.0,Marvel Studios,Walt Disney,Joss Whedon,8 wins & 47 nominations.
tt0478970,Ant-Man,2015,17 Jul 2015,83,64,7.3,"563,285",130000000.0,178494977,180202163,339109802,519311965,3868.0,Marvel Studios,Walt Disney,Peyton Reed,Nominated for 1 BAFTA Film Award. Another 4 wins & 33 nominations.
tt3498820,Captain America: Civil War,2016,06 May 2016,91,75,7.8,"655,365",250000000.0,232395976,408084349,745211944,1153296293,4226.0,Marvel Studios,Walt Disney,"Anthony Russo, Joe Russo",16 wins & 68 nominations.
tt1211837,Doctor Strange,2016,04 Nov 2016,89,72,7.5,"589,860",165000000.0,180664140,232641920,445076475,677718395,3882.0,"Marvel Studios, Marvel Entertainment",Walt Disney,Scott Derrickson,Nominated for 1 Oscar. Another 20 wins & 66 nominations.
tt3896198,Guardians of the Galaxy Vol. 2,2017,05 May 2017,84,67,7.6,"562,796",200000000.0,184356127,389813101,473942950,863756051,4347.0,"Marvel Studios, Walt Disney Pictures",Walt Disney,James Gunn,Nominated for 1 Oscar. Another 15 wins & 57 nominations.
tt2250912,Spider-Man: Homecoming,2017,07 Jul 2017,92,73,7.4,"504,737",175000000.0,198323345,334201140,545965784,880166924,4348.0,"Columbia Pictures, Marvel Studios",Sony Pictures,Jon Watts,7 wins & 10 nominations.
tt3501632,Thor: Ragnarok,2017,03 Nov 2017,93,74,7.9,"577,552",180000000.0,164643982,315058289,538918837,853977126,4080.0,Marvel Studios,Walt Disney,Taika Waititi,6 wins & 50 nominations.
tt1825683,Black Panther,2018,16 Feb 2018,96,88,7.3,"617,338",200000000.0,267360455,700059566,646853595,1346913161,4084.0,Walt Disney Pictures,Walt Disney,Ryan Coogler,Won 3 Oscars. Another 110 wins & 268 nominations.
tt4154756,Avengers: Infinity War,2018,27 Apr 2018,85,68,8.4,"819,170",321000000.0,303012371,678815482,1369544272,2048359754,4474.0,Marvel Studios,Walt Disney,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 46 wins & 75 nominations.
tt5095030,Ant-Man and the Wasp,2018,06 Jul 2018,88,70,7.1,"303,351",162000000.0,176800250,216648740,406025399,622674139,4206.0,Marvel Studios,Walt Disney,Peyton Reed,19 nominations.
tt4154664,Captain Marvel,2019,08 Mar 2019,78,64,6.9,"432,789",160000000.0,198063125,426829839,701444955,1128274794,4310.0,Marvel Studios,Walt Disney,"Anna Boden, Ryan Fleck",8 wins & 48 nominations.
tt4154796,Avengers: Endgame,2019,26 Apr 2019,94,78,8.4,"787,075",356000000.0,396469872,858373000,1939427564,2797800564,4662.0,"Marvel Studios, Walt Disney Pictures",Walt Disney,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 68 wins & 104 nominations.
